品类,产品名称,产地,省份,原始价格文本,价格(元/斤),涨跌幅(%),发布日期
苹果,红富士,山东烟台,山东,3.5元/斤,3.5,0.0,2026-08-10
苹果,嘎啦,陕西洛川,陕西,4.0元/斤,4.0,0.0,2026-08-10
